COUNTRY,CNT,EU,LEVEL,EXPLICIT,SCHOOLID,CLASSID,TEID,FSTWT,N_Teachers_Part,N_Students_Part,TE01Q01,TE01Q02,TE02Q01,TE03Q01,TE04Q01,TE04Q02,TE04Q03,TE05Q01,TE05Q02,TE06Q01,TE07Q01,TE08Q01,TE08Q02,TE08Q03,TE09Q01,TE09Q02,TE09Q03,TE09Q04,TE09Q05,TE09Q06,TE09Q07,TE09Q08,TE09Q09,TE10Q01,TE11Q01,TE12Q01,TE12Q02,TE13Q01,TE14Q01,TE14Q02,TE14Q03,TE14Q04,TE14Q05,TE14Q06,TE14Q07,TE14Q08,TE14Q09,TE14Q10,TE14Q11,TE15Q01,TE16Q01,TE16Q02,TE16Q03,TE16Q04,TE16Q05,TE17Q01,TE18Q01,TE18Q02,TE18Q03,TE18Q04,TE18Q05,TE18Q06,TE18Q07,TE18Q08,TE18Q09,TE18Q10,TE18Q11,TE19Q01,TE19Q02,TE19Q03,TE19Q04,TE20Q01,TE20Q02,TE20Q03,TE20Q04,TE20Q05,TE20Q06,TE20Q07,TE20Q08,TE20Q09,TE20Q10,TE20Q11,TE20Q12,TE20Q13,TE20Q14,TE20Q15,TE20Q16,TE20Q17,TE20Q18,TE20Q19,TE20Q20,TE20Q21,TE21Q01,TE21Q02,TE21Q03,TE21Q04,TE21Q05,TE21Q06,TE21Q07,TE21Q08,TE21Q09,TE21Q10,TE21Q11,TE22Q01,TE22Q02,TE22Q03,TE22Q04,TE22Q05,TE22Q06,TE22Q07,TE22Q08,TE22Q09,TE22Q10,TE22Q11,TE22Q12,TE22Q13,TE22Q14,TE22Q15,TE22Q16,TE22Q17,TE22Q18,TE22Q19,TE22Q20,TE23Q01,TE23Q02,TE23Q03,TE23Q04,TE23Q05,TE23Q06,TE23Q07,TE24Q01,TE24Q02,TE24Q03,TE24Q04,TE24Q05,TE24Q06,TE24Q07,TE24Q08,TE24Q09,TE24Q10,TE25Q01,TE26Q01,TE27Q01,TE28Q01,TE29Q01,TE14_ProfDev,TE18_TeachAct,TE20_Equip,TE20_Ped,TE20_Goal,TE21_StudCentered,TE21_TeachCentered,TE22_skills,TE22_Commun,TE24_Attitude,TE23_Opinion,DIGSUPTE_Cluster
Austria,11,1,ISCED3A,3,11303015,113030151,113030151101,94.2424,3,13,4,8,2,2,1,2,2,1,1,2,3,1,2,1,3,3,2,2,1,1,1,2,3,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,1,1,3,3,4,1,4,1,1,2,1,2,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,1,2,2,2,1,2,2,1,1,3,3,4,1,1,1,1,4,1,1,1,3,2,2,4,2,2,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,3,2,3,1,3,1,4,1,0.36,2.09,1.00,1.00,1.00,3.17,3.60,3.08,3.00,2.50,2.14,3
Austria,11,1,ISCED3A,3,11303015,113030151,113030151102,94.2424,3,13,4,8,3,2,1,2,2,1,1,2,8,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,4,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,2,1,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,2,4,4,2,2,4,2,4,3,3,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,2,2,3,3,2,1,3,2,2,3,2,2,1,2,1,4,2,5,1,0.18,1.36,1.00,1.29,1.00,1.83,2.20,3.83,4.00,2.88,3.00,3
Austria,11,1,ISCED3A,3,11303015,113030151,113030151103,94.2424,3,13,4,8,4,2,1,2,2,1,1,3,1,1,2,1,4,3,1,1,1,1,1,3,3,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,5,1,4,1,2,2,2,2,1,3,1,2,2,1,1,1,1,2,1,1,1,1,4,4,4,4,4,4,4,4,3,3,3,4,2,4,4,4,4,3,2,4,4,1,1,1,2,1,2,2,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,3,3,3,2,3,2,1,3,2,3,2,2,2,1,1,2,3,1,5,1,0.91,1.55,1.00,1.71,1.25,2.33,3.80,4.00,4.00,2.88,2.29,3
Austria,11,1,ISCED3A,3,11303018,113030181,113030181101,94.2424,3,27,8,19,3,2,M,1,M,1,1,4,1,2,1,2,1,3,1,1,1,1,2,2,3,2,2,1,2,2,2,1,2,1,2,1,1,2,2,2,2,5,1,2,1,4,1,2,1,1,2,2,2,2,4,M,2,4,3,1,1,2,2,2,3,4,2,1,4,2,2,1,1,3,2,2,3,3,2,4,3,2,4,2,1,1,2,2,1,3,2,4,4,2,4,1,1,1,1,3,1,1,1,1,2,2,2,1,3,3,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,3,2,1,1,1,4,3,5,1,0.36,2.21,2.33,3.14,1.75,1.83,3.60,3.50,2.67,3.13,3.29,4
Austria,11,1,ISCED3A,3,11303018,113030181,113030181102,94.2424,3,27,6,21,2,2,2,2,2,1,1,2,4,2,1,2,3,3,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,3,4,2,3,1,1,1,2,1,3,1,1,2,1,1,2,1,2,1,1,2,1,2,2,3,4,3,4,3,1,2,2,3,2,2,2,3,1,4,4,3,3,M,2,3,4,4,4,3,3,4,3,3,4,3,1,1,3,4,3,1,1,1,4,3,3,4,4,4,4,4,3,3,3,2,2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,3,1,5,1,0.18,1.55,2.00,2.86,1.36,1.50,1.80,2.42,1.00,3.38,3.43,2
Austria,11,1,ISCED3A,3,11303018,113030181,113030181103,94.2424,3,27,8,19,4,2,2,1,2,1,1,4,1,2,1,2,1,1,1,1,1,1,3,2,3,2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,4,4,4,2,4,4,4,4,4,1,4,2,4,2,1,1,4,4,4,4,4,1,2,3,3,2,3,3,3,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,4,3,4,4,4,4,2,1,2,2,2,3,2,2,1,2,2,2,1,5,1,0.45,1.36,1.33,1.71,1.00,1.83,2.80,4.00,4.00,3.00,1.14,3
Austria,11,1,ISCED3A,3,11303319,113033191,113033191101,94.2424,3,17,11,6,4,2,2,1,2,1,1,4,4,1,2,1,M,3,3,3,3,2,1,3,3,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,3,2,2,M,M,M,1,2,4,4,4,4,2,2,1,1,2,1,1,1,2,1,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,3,4,2,3,2,2,2,2,4,4,2,2,3,1,1,2,2,3,2,1,1,1,1,1,1,2,2,1,1,1,2,1,4,4,2,2,2,2,2,3,2,1,3,3,3,2,3,3,2,3,1,M,2,5,1,0.36,2.45,1.00,1.43,1.25,2.50,2.40,3.58,3.33,2.50,2.57,3
Austria,11,1,ISCED3A,3,11303319,113033191,113033191102,94.2424,3,17,7,7,6,2,2,1,2,1,1,3,7,2,2,1,1,1,1,1,1,1,M,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1,3,2,2,1,1,1,1,1,4,2,2,1,4,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,4,2,2,4,4,2,4,1,2,1,4,4,4,4,4,1,2,2,2,1,2,1,2,1,3,4,1,1,3,2,2,1,1,1,1,4,3,3,3,3,3,2,4,2,2,4,2,3,2,2,2,3,2,1,1,2,1,2,2,2,2,2,2,1,5,4,5,1,0.27,1.82,3.50,1.86,1.00,2.67,3.60,3.00,2.00,3.38,2.71,2
Austria,11,1,ISCED3A,3,11303319,113033191,113033191103,94.2424,3,17,9,6,3,2,M,M,1,1,1,3,6,2,2,1,1,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,4,4,4,1,1,4,4,4,4,2,4,1,2,4,4,1,4,4,4,2,3,1,2,3,2,1,3,1,3,4,2,4,3,1,4,4,4,3,3,3,3,3,4,4,4,4,2,4,4,4,4,4,2,2,2,3,3,4,2,3,1,4,2,1,3,2,3,1,2,2,6,5,5,2,0.09,1.00,2.00,2.00,1.75,2.00,3.40,1.50,1.67,2.63,2.43,2
Austria,11,1,ISCED3A,4,11304003,113040031,113040031101,140.3333,3,18,5,13,3,2,2,1,2,1,1,4,3,2,1,2,3,3,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,1,4,1,2,1,1,1,2,3,2,3,2,1,2,2,2,1,3,1,1,1,2,2,2,2,4,M,1,1,2,1,2,3,3,3,2,1,1,3,3,1,2,2,2,1,2,3,3,2,3,2,4,3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,4,3,2,1,2,2,3,2,2,1,3,1,1,2,2,3,2,2,2,4,3,5,1,0.45,2.00,2.90,2.71,3.00,1.83,3.00,3.92,3.67,3.13,2.86,4
Austria,11,1,ISCED3A,4,11304003,113040031,113040031102,140.3333,3,18,15,3,2,3,M,M,1,1,1,4,5,M,M,1,1,3,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,5,1,1,1,1,1,1,2,3,3,1,2,4,1,1,1,1,2,1,1,2,1,2,2,2,4,2,2,2,1,3,2,4,2,2,2,2,1,4,3,2,2,2,1,2,2,2,2,1,4,3,4,4,4,1,1,3,2,3,1,1,1,1,2,2,3,1,4,3,3,3,3,3,4,3,3,3,4,4,2,4,3,1,3,2,4,4,4,4,2,3,1,6,5,4,1,0.18,1.91,2.67,2.71,2.25,2.00,2.80,3.08,2.33,1.88,1.71,2
Austria,11,1,ISCED3A,4,11304003,113040031,113040031103,140.3333,3,18,4,15,4,2,M,M,2,1,2,2,6,2,1,M,1,1,1,3,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,M,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,2,2,M,3,4,2,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,2,3,2,2,3,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,3,3,3,3,4,1,1,5,4,3,2,0.12,1.09,1.00,2.60,3.75,3.17,3.40,1.58,1.00,1.75,1.14,2
Austria,11,1,ISCED3A,6,11306003,113060031,113060031101,245.3333,3,27,9,20,4,1,2,1,2,1,1,3,5,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,3,4,1,1,1,1,2,2,2,2,2,2,2,2,3,3,M,M,1,2,2,1,2,2,1,4,4,4,4,2,2,2,3,3,2,2,2,3,3,2,2,3,2,1,1,2,3,2,M,3,2,3,3,4,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,4,2,2,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,0.36,2.09,2.17,2.43,2.50,2.14,3.20,3.93,4.00,4.00,2.57,4
Austria,11,1,ISCED3A,6,11306003,113060031,113060031102,245.3333,3,27,20,9,4,1,2,1,2,1,1,3,5,1,M,1,M,3,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,5,4,1,1,1,1,1,2,3,2,2,2,3,2,1,1,2,1,1,1,1,1,2,2,1,1,1,3,2,2,2,2,3,3,3,2,1,2,4,3,2,2,4,1,1,2,2,1,1,2,2,2,2,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,2,2,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,2,3,2,5,1,0.45,1.91,3.33,2.57,1.75,2.83,3.60,3.92,3.33,4.00,2.57,4
Austria,11,1,ISCED3A,6,11306003,113060031,113060031103,245.3333,3,27,9,29,3,2,M,1,M,1,1,3,4,2,1,2,M,3,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,5,2,1,1,1,1,1,M,2,2,2,2,3,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,3,3,4,3,3,2,1,2,3,3,3,3,4,1,1,2,2,2,2,3,3,1,1,2,1,1,1,1,2,1,1,M,1,1,1,1,2,2,1,1,1,1,1,3,2,2,1,2,2,2,2,M,1,1,1,1,2,2,1,1,M,2,3,1,5,1,0.73,1.80,3.67,2.14,1.75,3.17,3.20,3.91,3.33,3.65,3.14,4
Austria,11,1,ISCED3A,3,11399015,113990151,113990151101,94.2424,3,19,6,13,2,2,2,2,2,1,1,2,6,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,3,1,1,1,1,1,1,1,1,3,4,2,1,1,1,4,3,3,2,4,3,2,2,3,1,2,2,2,3,4,3,2,4,2,2,2,4,1,0.00,1.36,1.00,1.00,1.00,3.67,3.40,3.67,2.33,2.50,2.29,3
Austria,11,1,ISCED3A,3,11399015,113990151,113990151102,94.2424,3,19,10,9,3,2,M,M,M,1,1,4,3,1,2,1,4,4,2,2,M,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,5,1,1,1,1,1,M,2,2,1,1,3,1,1,1,2,2,1,2,2,2,2,4,4,4,1,2,4,M,2,M,M,M,M,M,2,2,M,M,M,M,M,M,1,1,2,2,4,2,M,M,1,M,3,1,1,1,3,4,M,1,1,1,1,1,1,4,4,4,1,1,M,M,M,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,3,M,M,M,5,1,0.27,1.55,1.83,C,C,2.73,2.93,3.53,1.00,3.00,3.00,3
Austria,11,1,ISCED3A,3,11399015,113990151,113990151103,94.2424,3,19,6,13,4,2,2,1,2,1,1,4,6,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,1,2,4,2,2,1,2,1,1,2,3,M,2,2,1,1,1,1,1,1,1,1,2,1,2,2,4,4,1,4,4,4,4,4,4,2,4,2,2,2,4,4,4,2,4,1,1,2,2,2,2,2,4,2,4,3,1,1,1,1,1,1,1,1,1,3,2,2,4,4,4,1,1,4,4,4,3,3,2,3,3,2,4,2,2,2,2,3,2,3,3,2,4,1,5,4,5,2,0.36,1.57,2.17,1.29,1.50,2.17,3.40,3.67,1.00,2.63,2.14,2
Austria,11,1,ISCED3A,3,11399016,113990161,113990161101,94.2424,3,23,8,15,4,2,2,1,2,1,1,4,2,1,2,1,M,3,M,3,2,1,1,3,3,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,2,1,4,3,2,3,2,3,3,1,2,3,1,1,1,1,1,4,4,2,4,4,3,4,4,3,3,3,4,4,3,1,2,4,4,3,3,4,1,2,2,2,2,2,1,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,2,2,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2,1,3,2,5,1,0.82,2.45,1.50,1.43,1.25,2.50,3.40,4.00,3.33,3.50,3.43,4
Austria,11,1,ISCED3A,3,11399016,113990161,113990161102,94.2424,3,23,8,15,4,2,2,1,2,1,1,4,3,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,1,1,1,2,1,1,2,2,1,1,1,5,2,2,1,2,1,1,1,3,3,3,2,3,1,1,1,2,2,1,1,1,1,2,3,3,3,3,4,4,4,4,2,3,3,3,3,3,2,4,4,4,4,4,1,3,3,3,3,2,4,3,2,3,3,1,1,1,1,2,1,1,1,1,1,1,2,3,3,3,2,2,2,2,3,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,1,3,1,3,2,5,1,0.73,2.00,2.00,1.71,1.00,2.33,2.20,3.75,2.00,3.25,3.43,4
Austria,11,1,ISCED3A,3,11399016,113990161,113990161103,94.2424,3,23,8,15,2,2,2,1,2,1,1,4,1,1,M,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,5,4,2,4,4,2,1,2,2,2,2,3,4,2,1,1,2,2,1,1,1,2,2,4,3,4,2,2,3,3,3,2,3,4,4,2,1,2,4,4,4,4,4,2,2,2,2,1,2,3,3,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,4,1,1,1,1,4,2,2,1,2,2,2,2,2,1,3,2,2,2,2,3,1,3,1,3,2,5,1,0.82,2.09,2.17,1.86,1.00,3.00,3.00,3.83,2.67,2.88,3.14,4
Austria,11,1,ISCED3A,3,11399020,113990201,113990201101,282.7273,1,19,10,10,2,2,2,2,2,1,1,4,4,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,3,3,3,1,3,1,1,2,1,3,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,2,2,2,2,2,2,3,1,1,2,1,1,1,3,4,1,1,1,1,1,2,4,3,4,3,3,4,2,2,4,2,2,1,2,2,2,2,M,2,2,2,M,2,2,2,2,2,1,4,3,5,1,0.00,2.09,1.00,1.00,1.00,3.17,3.00,3.08,1.67,3.02,3.14,3
Austria,11,1,ISCED3A,3,11399026,113990261,113990261101,94.2424,3,25,12,13,2,2,2,2,2,1,2,4,6,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,2,3,3,3,2,2,1,2,3,3,1,1,1,3,2,2,2,1,1,2,2,1,1,1,1,1,4,2,4,4,4,4,1,2,1,1,4,4,3,2,4,4,4,4,2,1,3,3,2,4,4,4,2,3,1,6,5,5,1,0.09,1.09,1.00,1.43,2.50,2.83,3.40,3.25,1.00,2.13,1.43,2
